,date,id,author_id,text,like,n_rt,author,colours
64,2021-12-25 00:26:52+00:00,1474537092139073536,1452980849172008962,"Non so chi sei né dove abiti ma ti troverò e ti abbraccerò!
Mio eroe❤️
.
#nogreenpass #bastardi #mafiosi #Draghibugiardo #Draghistan #megagreenpass #MerryChristmas #GreenPassrafforzato #Mattino5 https://t.co/TCsd5rKWN1",34,8,MOV_ONDA,#aaaacc
65,2021-12-28 14:48:50+00:00,1475841175986839554,1364298062919794688,"La Polonia ha la stessa curva della Germania.

Sarà che le misure del governo tedesco funzionano così tanto che gli effetti si vedono anche nei Paesi confinanti?

Buffoni ne abbiamo?

#NoGreenPass https://t.co/z7O4ti5DPO",64,12,Lorenzo62752880,#aaaacc
66,2021-12-27 11:36:00+00:00,1475430257624764419,1364298062919794688,"Ricciardi annuncia quarta dose tra maggio e giugno!

Quindi a breve anche con 3 dosi non si potrà più fare nulla senza la 4?

Quanto si pensa di andare avanti così?

#NoGreenPass",897,285,Lorenzo62752880,#aaaacc
67,2021-10-18 09:56:42+00:00,1450038116807585794,2873377521,"Stiamo entrando nell'era ""Draghistan""

Dedicato a tutti coloro che vedevano Grisù quale salvatore della Patria; un banchiere che ha portato alla fame il popolo greco, non avrebbe mai potuto salvarci, anzi !!
#NoGreenPass #siamotuttiportuali #DraghiArrenditi https://t.co/Bf2kn21uQK",38,17,Willi_Shake_01,#aaaacc
68,2021-12-27 15:12:23+00:00,1475484715335442442,1364298062919794688,"File di ore e ore per tamponi per le feste... poi diranno che sono aumentati i contagi e bisogna tornare in lockdown...

#NoGreenPass",109,12,Lorenzo62752880,#aaaacc
69,2021-12-28 16:14:35+00:00,1475862753827041283,1238800491632607232,"#Puzzer il #Sankara Italiano.
Sankara 4/10/1984
Puzzer 18/10/2021
Finora abbiamo porto l'altra guancia gli schiaffi sono stati raddoppiati Ma il cuore del cattivo non si è ammorbidito Hanno calpestato la verità Hanno trasformato la croce di Cristo in mazza
VINCEREMO
#NoGreenPass https://t.co/7qR3JtqwWt",24,11,gianluca826,#aaaacc
70,2021-12-22 21:46:00+00:00,1473771831001767953,420931672,"Francesca #Donato: ""i guariti sono già immuni e non hanno bisogno di nessun vaccino""

#Zonabianca #ottoemezzo #staseraitalia #novax #NoGreenPass #22dicembre @ladyonorato https://t.co/ITnLu8NEZC",306,106,EmeiMarkus,#aaaacc
71,2021-12-27 20:24:02+00:00,1475563140872130561,1364298062919794688,"In Romania e Slovenia con bassi tassi vaccinali, il 40 e il 59% i casi sono al minimo.

Le curve dei casi sono circa le stesse di Austria e Germania. 

Buffonata prendere i dati momentanei solo di alcuni Paesi e spacciarli per merito di certe misure.

#NoGreenPass",106,22,Lorenzo62752880,#aaaacc
72,2021-12-28 18:22:21+00:00,1475894906455531520,1364298062919794688,"Il lockdown della Germania ha fatto calare i casi anche nelle confinanti Polonia e Repubblica Ceca?

Che giornalismo...

#NoGreenPass https://t.co/jr62eGvIG2",48,13,Lorenzo62752880,#aaaacc
73,2021-12-28 20:27:02+00:00,1475926285365006345,1364298062919794688,"Anche il sindaco di Verona positivo nonostante vaccino. 

Le discriminazioni e le sospensioni dal lavoro sono sempre più senza fondamento. Il green pass misura da rimuovere. 

#NoGreenPass",371,106,Lorenzo62752880,#aaaacc
